income,debt,credit_score
171489,22407,626
41923,32643,631
120198,25208,422
45984,8934,322
77097,31061,533
73023,33733,694
124139,40321,517
125570,40478,822
28311,39948,430
158001,3480,775
181829,2896,342
57864,14905,365
99206,28501,821
49197,23066,670
150341,45648,672
93958,23864,391
37983,16644,612
105013,9821,841
181630,9225,601
89089,1653,669
197117,35320,652
125919,49633,717
155315,47168,356
193837,44351,506
67006,3645,674
61241,40170,327
106462,15311,727
64576,9615,744
33939,25178,547
35743,8815,820
32228,31254,664
117571,8987,431
122364,32135,643
69466,47756,302
84300,14861,568
90925,39087,634
151063,32199,388
55654,194,491
170017,4804,337
53909,45597,532
36649,38569,776
53178,41005,510
60860,18275,621
80708,42419,573
166489,34710,414
116892,24958,814
85593,14392,569
78775,7411,559
197319,37114,308
34074,9981,411
37073,15107,442
106410,12993,744
88133,26337,791
178849,19358,711
143941,29903,577
199389,48319,697
195678,24373,446
156933,12396,773
125994,3050,614
55387,34102,780
149782,253,694
138627,39821,659
32864,21418,555
107435,15412,484
192464,12245,645
62917,3757,772
140203,7915,396
159534,19783,437
20008,34297,402
98161,15393,433
128332,39883,520
52317,43539,765
84833,28357,434
75537,40131,616
45087,1693,540
54492,44801,446
27837,30831,374
59461,6105,565
142507,29302,450
42398,30676,495
187654,4261,762
179791,31867,658
46627,37561,834
25101,123,686
177474,12514,373
105415,11158,637
59422,16432,708
160207,13506,474
111632,14018,322
137183,31284,465
166633,34060,349
147270,34732,621
32797,18036,373
86566,16061,550
63424,49423,483
104017,18341,465
136495,22885,741
115328,49607,745
189297,46975,608
77576,12710,564
169779,14456,423
125685,18976,404
183390,33970,411
196082,8499,748
126830,18022,363
76709,28149,588
126027,877,538
30389,46422,340
101700,43806,836
68524,3497,461
120988,45830,415
117093,42686,570
197191,11725,405
131151,23387,741
169688,5054,683
167321,23315,836
54357,5065,632
38620,41637,628
154544,42568,735
170885,47330,463
104511,12585,510
188782,14549,416
186389,11538,791
97931,48814,546
30790,39007,633
123017,27187,372
145322,9475,452
72259,18896,322
106099,21372,751
75143,46528,720
101645,39030,689
169814,4977,792
99090,6771,701
113441,968,367
96188,20563,836
96072,2541,713
114821,29275,588
57056,32040,713
140716,9557,514
24804,21906,746
38590,15091,663
46596,43958,385
76874,38939,402
25254,30639,521
157306,48638,810
119069,23750,386
170145,16478,528
118770,30115,552
110039,9361,418
152917,6193,363
141553,25585,433
21518,4039,713
189820,31786,471
145287,3515,787
118473,38515,344
117243,49925,525
24281,38382,420
46181,12846,645
192727,29217,328
144600,4514,676
118006,6503,802
25674,44071,323
178796,29333,612
103851,39592,503
152865,1243,375
170357,42020,615
137200,11423,583
38145,46378,746
54139,16209,389
198937,10870,340
133961,7778,808
98367,49791,669
142474,4485,770
29914,35506,706
40403,19191,745
47196,38358,657
30403,19535,305
157200,38758,319
66709,1811,348
130724,27525,805
95650,36833,623
170209,41355,682
164778,45256,315
114236,12630,722
198626,30712,763
83263,29639,455
158987,2730,518
114419,32474,715
194473,44732,319
38248,48804,315
172502,42775,530
192330,34735,545
70127,3594,392
88258,32222,322
173602,47444,804
139553,30812,425
48728,24689,513
121784,43656,599
179346,38670,356
152853,8751,647
88234,22889,492
197989,46575,755
137619,40779,700
162861,11116,305
117053,8899,436
62671,5902,302
94545,12922,373
32148,18160,498
99135,23705,361
92373,37300,501
105363,22013,791
26399,31103,325
77418,30440,349
132109,38949,538
38893,7810,338
55339,32519,722
114396,37107,629
121569,43021,408
67893,45451,844
114189,25174,399
36027,18026,463
77077,47812,329
126828,25711,475
161107,15692,850
107788,10823,844
170223,47068,567
109041,15052,796
51772,38293,437
172098,5173,798
131919,37644,765
175727,38729,380
73976,38361,736
154836,1397,834
197541,40988,338
144414,6468,548
70708,15952,630
25743,18083,498
196003,9503,504
166077,30454,679
71910,4678,513
82735,46671,344
150076,44609,328
47323,32674,480
150272,49432,405
157675,9615,314
72400,6648,715
141188,35152,619
186520,7588,596
23245,8362,434
109012,23819,353
167035,19707,618
124994,45710,631
26692,27886,650
149526,45210,386
139826,45076,399
172571,13817,419
172683,36546,474
163933,31300,806
41943,10953,426
68768,26425,572
183874,43463,825
82777,30964,809
192576,9813,413
143821,27228,771
52703,34740,695
198320,46401,753
100771,29387,407
64581,18060,569
153073,40498,845
94771,20001,730
22501,12152,594
83314,48812,375
165419,790,738
78546,20729,351
136439,11771,633
119362,32635,800
54072,49982,842
116440,43218,344
159724,44112,489
103943,4314,774
164843,15165,523
94427,8147,308
138415,30955,444
27451,41058,685
163312,42452,817
115235,43113,818
151842,29537,558
62973,43083,391
106026,23746,812
152250,29297,521
114911,27572,609
70301,15981,682
196447,31963,401
33963,42175,566
35048,33900,474
192895,13458,667
123334,8459,522
44667,40183,711
62861,4374,358
164233,44479,599
67090,2675,682
144868,31271,843
127558,2207,752
113807,41083,329
125004,32725,407
175233,49631,536
27275,40313,668
149725,12575,726
25667,21731,809
129555,25407,823
190628,44643,465
28246,41342,688
142290,17800,466
199001,27548,346
24517,18874,421
51854,35592,314
39457,32886,337
98415,40425,759
35050,7586,448
26283,12526,730
32126,37316,499
159531,18296,828
25411,29214,423
54989,16627,781
190792,2463,529
168634,17831,436
48673,29486,431
32597,31773,768
107416,15744,690
120756,28766,786
166733,46563,825
121543,25018,453
156278,26113,350
60427,39628,452
91465,2575,677
95437,47600,425
75599,1210,629
154546,27571,323
176412,43450,370
52181,29849,594
110549,42671,450
71392,20874,442
186270,41604,691
124110,14053,493
193733,4815,828
184496,4147,725
186899,14309,849
193846,8574,386
60693,47726,580
182718,32565,778
123795,42572,414
186062,32719,747
80099,39539,538
79330,41528,536
159077,28869,500
76549,14844,759
32126,31867,718
91422,45464,389
21497,38935,438
29683,37973,750
196116,43062,415
199325,29595,368
132984,23033,776
158190,29808,577
98118,31398,708
20114,16560,433
90240,28546,636
169109,36746,798
99297,26781,845
193296,24189,607
144886,42320,351
166265,28524,398
47037,36786,742
151096,48625,522
36882,16899,608
128289,14674,375
125705,21602,781
151613,49980,572
140026,27061,752
149534,249,644
116492,19816,365
85098,43701,500
35902,5042,601
175532,45248,500
51998,43619,604
109375,2997,562
44189,49074,510
155483,20983,582
91172,28480,593
120365,25802,649
141558,40138,314
89031,1527,595
23833,48723,398
184616,26720,308
166730,16006,548
24691,7912,302
26985,23269,485
31722,327,501
57239,39173,571
180633,28940,811
94553,47226,491
99928,16544,779
100955,40329,619
69445,38824,470
39871,43766,485
172838,38155,736
197663,46885,765
88202,2684,372
98510,14297,710
26357,10526,756
130810,31309,791
26786,41738,644
185760,26067,788
92080,44710,481
59909,46253,779
82168,3717,461
109502,23722,348
94506,30145,692
25990,4308,753
79094,47109,430
167243,22979,625
175213,41840,377
61123,13087,641
113238,12735,765
112706,10648,586
37789,479,622
176568,28802,377
195661,3702,363
96266,39571,359
193745,5043,341
29483,43598,801
150595,18939,372
189916,29733,811
33004,36753,441
170564,42840,391
190070,23085,546
32899,31493,758
183741,21546,346
125672,29624,765
21589,20566,586
136704,42974,374
128907,5241,719
171325,43288,796
56963,29562,652
95691,4713,614
165502,36692,358
60879,15360,436
66172,48513,627
88587,23628,753
168519,14609,466
71453,36104,846
58157,32993,432
111113,43158,735
78193,11245,626
26822,39556,719
92555,11543,694
22717,3370,728
127724,37177,314
65616,6377,366
192350,11022,771
53888,45859,346
147052,23089,644
119722,4956,553
65906,41602,478
91344,6282,589
50415,17131,593
160724,25555,640
198953,32795,727
95945,11764,752
109461,13526,373
27675,1974,412
169700,46727,538
100359,32276,489
60916,10531,456
101705,9620,831
138710,12765,610
189079,48015,812
165446,6540,832
84655,5386,550
109558,28704,754
162567,11953,544
30911,40565,657
125553,33342,314
144412,8059,709
123566,26342,704
130902,39695,820
132804,21399,300
188174,7540,816
185288,36984,715
148578,33371,330
188869,7840,544
167310,30453,567
73287,15030,406
95052,25970,319
107596,42865,838
24239,18532,758
41847,49623,595
129400,37112,648
91252,32365,311
134862,32065,305
72181,2654,763
136043,30264,534
121149,29429,820
40088,30799,773
79782,12779,349
179658,11245,839
80035,45022,654
95478,39555,412
34241,1747,372
103759,19437,809
53514,20898,568
119786,4062,684
168836,19486,751
179829,4896,499
111398,12695,492
191012,5574,780
134172,49604,409
155852,28249,325
188414,2490,664
112481,5832,626
49079,17806,497
75287,20551,335
136434,11220,589
195564,45547,845
188452,11930,465
64828,40995,506
67160,31398,414
91498,1979,679
194967,14254,347
52151,4261,412
42826,34872,564
170282,15842,430
194879,6005,337
101562,37953,677
130823,32655,308
180947,41853,516
176179,27759,772
32250,21158,765
127435,49235,847
44797,26401,371
82226,33463,780
37256,1123,839
60054,17493,624
119893,3629,705
54126,10217,451
117009,43006,593
191723,33377,673
89401,36990,405
44480,23116,684
68178,9576,458
45601,47838,685
101622,35466,379
180236,19780,773
148809,40444,829
125674,5245,586
61717,47427,685
42928,7210,382
29623,7048,630
137716,48205,473
90423,24993,380
134344,20224,647
102538,26530,374
154111,37442,330
192551,6499,424
78489,48904,822
125019,32195,673
181115,39534,334
197631,11838,373
164978,39961,737
159772,21376,363
114052,33789,505
181886,42553,467
48818,48018,385
113661,49532,668
113071,41583,417
62817,29368,773
171045,43480,444
54838,205,431
27132,18108,327
181598,12947,355
45264,35323,617
50137,38386,508
170362,19202,797
121863,13413,592
72059,17561,361
197306,10447,760
191408,47788,351
188191,47717,825
46604,8606,316
20596,38473,800
141859,38089,456
128899,27766,787
114598,17096,722
171883,32363,708
170443,41756,410
166694,15540,800
56153,21085,777
119664,8478,457
29350,13381,571
63313,43082,817
68195,25821,370
87203,6500,802
100007,36904,480
134279,49096,314
48070,34525,649
119192,47689,710
20920,13947,825
115432,11889,483
58327,21688,721
34474,44309,534
103976,8646,339
102334,47629,719
86369,8006,768
45012,23876,381
89409,42944,389
136046,31437,331
95724,38550,670
185224,19708,483
33561,28530,746
111634,8236,678
112602,27345,575
134664,30891,666
66049,12362,451
34964,43275,318
51960,31754,452
97772,49266,793
107950,28393,784
185504,48180,494
104051,13962,743
120977,1959,374
85451,46682,713
44503,34735,850
148150,27178,531
144314,30362,741
126235,8629,389
108715,2818,427
46751,28786,739
117418,50,682
31369,11078,626
198595,10647,368
20086,37294,487
160113,20339,413
131591,23659,777
159807,44844,838
197832,30458,533
98112,4357,815
97037,7099,711
50063,48655,754
30660,48299,347
144226,28928,839
163408,27848,368
56026,21570,807
91320,7072,436
124127,6199,438
96637,31553,826
195745,20032,322
163736,19943,767
78806,5991,515
111504,30347,317
152446,47509,334
180811,2718,531
128220,46735,653
107679,7899,550
124317,2014,428
146537,1878,532
171155,45718,724
187714,1162,475
61472,46546,537
131432,16014,533
151101,4005,494
173419,45733,616
191141,2157,457
110543,29210,762
144733,33725,364
176270,48503,700
140632,48401,717
179379,29649,636
117296,36635,686
138791,8178,366
162231,12652,459
182703,3617,356
110917,13968,380
91421,27032,728
143900,27382,766
135561,42777,307
159450,3597,722
188048,27421,549
89927,16259,642
158393,9180,380
59574,5241,454
97868,24615,568
51540,38087,318
152418,3425,667
126639,29361,498
82911,1240,738
84559,30728,800
186300,24976,483
28504,46833,520
32779,5887,432
101015,9444,792
180023,26526,640
97929,31512,479
71472,49853,740
115785,42127,551
197814,34799,473
111139,47293,617
80498,14162,375
171749,34379,832
36581,35383,329
190475,36924,637
96028,14197,460
190172,6021,493
123162,22432,538
36056,47144,516
77130,17029,773
77174,44264,563
95565,6593,479
62826,25090,595
199581,14185,563
136205,18060,771
104042,24977,331
156004,13106,519
100129,43608,316
43904,38268,628
48868,20093,324
82526,4167,801
96406,15467,773
55896,3616,702
60978,5857,393
23134,40259,496
94234,3821,538
40468,36888,476
99118,13099,328
179164,3581,394
107090,18961,421
116196,13408,823
117608,5688,398
57672,19877,664
36411,12518,715
181036,8509,654
83789,14872,641
104668,3219,601
154815,44916,727
72933,42928,533
44412,43285,531
98269,1187,826
191789,27092,522
97578,37006,401
139496,49200,312
66205,36252,435
51250,26181,580
108067,14026,740
129677,30817,468
109755,5504,681
46708,22833,413
90466,34029,699
88060,43422,703
72232,42316,714
138288,42545,627
26931,15370,732
52550,9784,814
61021,1840,540
37827,10795,713
117982,43702,317
63037,38656,708
40011,48689,472
199030,46892,401
42707,1116,751
128280,12340,479
119122,9353,342
33202,5546,384
34523,5934,495
166786,37931,344
58730,18731,850
150358,45708,468
96096,25985,600
117199,12441,560
199769,19988,661
24236,12009,797
142137,44197,526
82876,10391,841
102031,33390,595
91264,11699,541
138474,16417,635
52709,3742,560
154562,24881,467
27299,27609,826
169019,18519,402
199961,45421,698
136352,7976,324
87674,3762,796
33241,49014,331
90138,7653,606
92398,20134,696
123569,30770,584
111869,6005,413
83503,33219,667
156695,34888,413
100315,45263,394
69158,36879,449
65926,45380,629
35857,45023,468
64090,13786,758
147645,16819,549
121341,38064,440
185764,18969,767
188486,23572,352
69720,9737,740
88494,43420,387
161766,8757,687
