income,debt,credit_score,Food,Transportation,Housing,Utilities
84770,17211,705,4773.346109470224,10106.43872520444,27467.70254541789,5484.589355983912
152133,35147,626,12672.19382363226,9515.054171192322,39062.915279577624,12973.422116724567
138721,27223,554,10342.086611427092,8522.787019636593,41666.31144572476,7649.21939657398
169594,16014,674,20873.800564216028,18793.798769454083,51446.18679611341,8785.160619991038
64958,24036,841,5651.926878083906,8580.109150117034,20597.229135788708,5467.030145549448
133040,20763,467,16217.91073540468,10841.605108378319,34237.31005602637,11990.938915470724
195823,22017,655,12150.156105384367,28291.84654945642,59335.48807092279,16794.66028893587
161681,13600,539,14104.700333999566,17405.104869866747,47390.99783981685,11876.97568338494
58807,13759,799,3728.339372210901,3128.948510893569,14897.364588706136,3622.0581270053044
160345,47702,329,21656.315013129508,10416.098307296239,44027.10081454431,8697.292400417278
78384,20237,633,9322.04402496997,4089.9404643984208,26296.26209144328,5195.747531800187
84802,14813,319,11889.903922982146,7580.048747539412,27147.146338184528,7741.434006414439
154338,41835,534,17831.09484758352,15589.615240086157,39634.42967611928,14920.976925711642
136196,26466,476,12832.84085920257,20425.791140487123,47257.246764560725,9663.433714008217
165908,42032,807,20968.056091106082,23824.552261610894,50804.02243364151,14996.073875110844
191724,4429,763,17878.359952595736,23627.68213565415,54359.15800638604,9794.01267965167
61937,12691,649,8328.055490840501,6869.9031188495965,18481.735455128975,4611.947645631869
106924,2180,710,7942.817175220518,10373.813977167616,35281.49978273736,7316.569021748087
148878,49151,373,15067.830354660411,16717.256067485865,47643.07524225805,14440.627221840703
130957,607,804,12698.489032397687,10562.188938779133,45251.53176176072,11749.02483932317
164081,16092,747,11785.493082952982,19283.482311903117,43021.33516687515,12241.945807842012
71444,46326,330,10028.389951570956,4957.201253345323,19990.209804297647,4339.151317596209
142539,35922,492,7919.915640437915,7137.7614523695265,39312.34079267772,12664.753309484708
182360,31206,473,25666.906249974647,23676.862665389046,45827.14207635683,13221.545713044603
117407,10831,622,6133.234233628313,16510.693016907295,34252.39051936074,8410.786605490723
190045,12680,783,26673.059788552873,27076.938886119176,63022.467378256566,16432.603867855138
40756,1193,513,4368.238717639696,6078.678190580017,12261.077054334495,3096.0238908958677
190008,40167,599,17884.86265408897,17164.810544613505,58881.009313634306,16290.520698341492
